ID|Mosha|Gjinia|Familja|Niveli_edukimit|Statusi_martesor|Te_Ardhurat_vjetore|Lloji_cc|Muajt_me_banken|Muajt_joaktiv_gjatevitit|sa_here_ka_kontaktuar_banken|CC_limiti|CC_shuma_perdorur|CC_shuma_paperdorur|Transaksioni_Fundit|Numri_transaksioneve|Indikatori_Largim
768805383|45|M|3|High School|Married|$60K - $80K|Blue|39|1|3|12691|777|11914|1144|42|Ekzistues
818770008|49|F|5|Graduate|Single|Less than $40K|Blue|44|1|2|8256|864|7392|1291|33|Ekzistues
713982108|51|M|3|Graduate|Married|$80K - $120K|Blue|36|1|0|3418|0|3418|1887|20|Ekzistues
769911858|40|F|4|High School|Unknown|Less than $40K|Blue|34|4|1|3313|2517|796|1171|20|Ekzistues
709106358|40|M|3|Uneducated|Married|$60K - $80K|Blue|21|1|0|4716|0|4716|816|28|Ekzistues
713061558|44|M|2|Graduate|Married|$40K - $60K|Blue|36|1|2|4010|1247|2763|1088|24|Ekzistues
810347208|51|M|4|Unknown|Married|$120K +|Gold|46|1|3|34516|2264|32252|1330|31|Ekzistues
818906208|32|M|0|High School|Unknown|$60K - $80K|Silver|27|2|2|29081|1396|27685|1538|36|Ekzistues
710930508|37|M|3|Uneducated|Single|$60K - $80K|Blue|36|2|0|22352|2517|19835|1350|24|Ekzistues
719661558|48|M|2|Graduate|Single|$80K - $120K|Blue|36|3|3|11656|1677|9979|1441|32|Ekzistues
708790833|42|M|5|Uneducated|Unknown|$120K +|Blue|31|3|2|6748|1467|5281|1201|42|Ekzistues
710821833|65|M|1|Unknown|Married|$40K - $60K|Blue|54|2|3|9095|1587|7508|1314|26|Ekzistues
710599683|56|M|1|College|Single|$80K - $120K|Blue|36|6|0|11751|0|11751|1539|17|Ekzistues
816082233|35|M|3|Graduate|Unknown|$60K - $80K|Blue|30|1|3|8547|1666|6881|1311|33|Ekzistues
712396908|57|F|2|Graduate|Married|Less than $40K|Blue|48|2|2|2436|680|1756|1570|29|Ekzistues
714885258|44|M|4|Unknown|Unknown|$80K - $120K|Blue|37|1|2|4234|972|3262|1348|27|Ekzistues
709967358|48|M|4|Post-Graduate|Single|$80K - $120K|Blue|36|2|3|30367|2362|28005|1671|27|Ekzistues
753327333|41|M|3|Unknown|Married|$80K - $120K|Blue|34|4|1|13535|1291|12244|1028|21|Ekzistues
806160108|61|M|1|High School|Married|$40K - $60K|Blue|56|2|3|3193|2517|676|1336|30|Ekzistues
709327383|45|F|2|Graduate|Married|Unknown|Blue|37|1|2|14470|1157|13313|1207|21|Ekzistues
806165208|47|M|1|Doctorate|Divorced|$60K - $80K|Blue|42|2|0|20979|1800|19179|1178|27|Ekzistues
708508758|62|F|0|Graduate|Married|Less than $40K|Blue|49|3|3|1438.3|0|1438.3|692|16|Larguar
784725333|41|M|3|High School|Married|$40K - $60K|Blue|33|2|1|4470|680|3790|931|18|Ekzistues
811604133|47|F|4|Unknown|Single|Less than $40K|Blue|36|3|2|2492|1560|932|1126|23|Ekzistues
789124683|54|M|2|Unknown|Married|$80K - $120K|Blue|42|2|3|12217|0|12217|1110|21|Ekzistues
771071958|41|F|3|Graduate|Single|Less than $40K|Blue|28|1|2|7768|1669|6099|1051|22|Ekzistues
720466383|59|M|1|High School|Unknown|$40K - $60K|Blue|46|1|2|14784|1374|13410|1197|23|Ekzistues
804424383|63|M|1|Unknown|Married|$60K - $80K|Blue|56|3|2|10215|1010|9205|1904|40|Ekzistues
718813833|44|F|3|Uneducated|Single|Unknown|Blue|34|2|2|10100|0|10100|1052|18|Ekzistues
806624208|47|M|4|High School|Married|$40K - $60K|Blue|42|0|0|4785|1362|3423|1045|38|Ekzistues
778348233|53|M|3|Unknown|Married|$80K - $120K|Blue|33|2|3|2753|1811|942|1038|25|Ekzistues
712991808|53|M|2|Uneducated|Married|$60K - $80K|Blue|48|5|1|2451|1690|761|1596|26|Ekzistues
709029408|41|M|4|Graduate|Married|$60K - $80K|Blue|36|1|2|8923|2517|6406|1589|24|Ekzistues
788658483|53|F|2|College|Married|Less than $40K|Blue|38|2|3|2650|1490|1160|1411|28|Ekzistues
787937058|58|M|0|Graduate|Married|$80K - $120K|Blue|49|2|2|12555|1696|10859|1291|24|Ekzistues
715318008|55|F|1|College|Single|Less than $40K|Blue|36|2|1|3520|1914|1606|1407|43|Ekzistues
713962233|55|F|3|Graduate|Married|Less than $40K|Blue|36|2|3|3035|2298|737|1877|37|Ekzistues
785432733|42|F|4|High School|Married|Less than $40K|Gold|36|3|3|15433|0|15433|966|22|Ekzistues
715190283|57|F|1|Graduate|Unknown|$40K - $60K|Blue|49|3|2|3672|886|2786|1464|28|Ekzistues
708300483|66|F|0|Doctorate|Married|Unknown|Blue|56|4|3|7882|605|7277|704|16|Larguar
827111283|45|M|3|Graduate|Single|$80K - $120K|Blue|41|2|2|32426|578|31848|1109|28|Ekzistues
758551608|51|M|2|Unknown|Married|$40K - $60K|Blue|44|1|0|6205|2204|4001|1347|28|Ekzistues
773146383|50|F|1|College|Single|$40K - $60K|Silver|43|2|3|17304|2517|14787|1756|33|Ekzistues
778493808|49|M|3|High School|Married|$60K - $80K|Blue|37|2|1|3906|0|3906|1756|32|Ekzistues
720572508|38|F|4|Graduate|Single|Unknown|Blue|28|3|3|9830|2055|7775|1042|23|Ekzistues
712661433|49|M|4|Uneducated|Single|$80K - $120K|Blue|30|2|3|34516|0|34516|1444|28|Ekzistues
789172683|56|M|2|Doctorate|Married|$60K - $80K|Blue|45|2|0|2283|1430|853|1741|27|Ekzistues
738406533|59|M|1|Doctorate|Married|$40K - $60K|Blue|52|2|2|2548|2020|528|1719|27|Ekzistues
799723908|46|M|3|High School|Married|$80K - $120K|Blue|40|3|3|19458|1435|18023|1217|27|Ekzistues
771490833|52|M|1|College|Single|$80K - $120K|Blue|40|1|1|4745|1227|3518|1140|40|Ekzistues
