ID|Mosha|Udhetime_biznesore|Departamenti|Distanca_nga_shtepija|Fusha_edukimit|Ambientimi_punetorit|Gjinia|Involvimi_ne_detyra_pergjegjesi|Niveli_punes|Roli|Satisfaksioni_punedhenesit|Statusi_martesor|Ardhurat_mujore|Numri_kompanive_qe_kapunuar|OverTime|Ngritja_rroges_perqindje|Vite_pervoje_pune|Numri_trajnimeve_vitin_kaluar|Bilanci_pune_jete|Vitet_me_kompanine|Vitet_ne_rolin_aktual|Vitet_qe_nga_ngritja_pozites|Vitet_me_menagjerin_aktual|Largimi
1|41|Travel_Rarely|Sales|1|Life Sciences|2|Female|3|2|Sales Executive|4|Single|5993|8|Yes|11|8|0|1|6|4|0|5|Yes
2|49|Travel_Frequently|Research & Development|8|Life Sciences|3|Male|2|2|Research Scientist|2|Married|5130|1|No|23|10|3|3|10|7|1|7|No
3|37|Travel_Rarely|Research & Development|2|Other|4|Male|2|1|Laboratory Technician|3|Single|2090|6|Yes|15|7|3|3|0|0|0|0|Yes
4|33|Travel_Frequently|Research & Development|3|Life Sciences|4|Female|3|1|Research Scientist|3|Married|2909|1|Yes|11|8|3|3|8|7|3|0|No
5|27|Travel_Rarely|Research & Development|2|Medical|1|Male|3|1|Laboratory Technician|2|Married|3468|9|No|12|6|3|3|2|2|2|2|No
6|32|Travel_Frequently|Research & Development|2|Life Sciences|4|Male|3|1|Laboratory Technician|4|Single|3068|0|No|13|8|2|2|7|7|3|6|No
7|59|Travel_Rarely|Research & Development|3|Medical|3|Female|4|1|Laboratory Technician|1|Married|2670|4|Yes|20|12|3|2|1|0|0|0|No
8|30|Travel_Rarely|Research & Development|24|Life Sciences|4|Male|3|1|Laboratory Technician|3|Divorced|2693|1|No|22|1|2|3|1|0|0|0|No
9|38|Travel_Frequently|Research & Development|23|Life Sciences|4|Male|2|3|Manufacturing Director|3|Single|9526|0|No|21|10|2|3|9|7|1|8|No
10|36|Travel_Rarely|Research & Development|27|Medical|3|Male|3|2|Healthcare Representative|3|Married|5237|6|No|13|17|3|2|7|7|7|7|No
11|35|Travel_Rarely|Research & Development|16|Medical|1|Male|4|1|Laboratory Technician|2|Married|2426|0|No|13|6|5|3|5|4|0|3|No
12|29|Travel_Rarely|Research & Development|15|Life Sciences|4|Female|2|2|Laboratory Technician|3|Single|4193|0|Yes|12|10|3|3|9|5|0|8|No
13|31|Travel_Rarely|Research & Development|26|Life Sciences|1|Male|3|1|Research Scientist|3|Divorced|2911|1|No|17|5|1|2|5|2|4|3|No
14|34|Travel_Rarely|Research & Development|19|Medical|2|Male|3|1|Laboratory Technician|4|Divorced|2661|0|No|11|3|2|3|2|2|1|2|No
15|28|Travel_Rarely|Research & Development|24|Life Sciences|3|Male|2|1|Laboratory Technician|3|Single|2028|5|Yes|14|6|4|3|4|2|0|3|Yes
16|29|Travel_Rarely|Research & Development|21|Life Sciences|2|Female|4|3|Manufacturing Director|1|Divorced|9980|1|No|11|10|1|3|10|9|8|8|No
17|32|Travel_Rarely|Research & Development|5|Life Sciences|1|Male|4|1|Research Scientist|2|Divorced|3298|0|Yes|12|7|5|2|6|2|0|5|No
18|22|Non-Travel|Research & Development|16|Medical|4|Male|4|1|Laboratory Technician|4|Divorced|2935|1|Yes|13|1|2|2|1|0|0|0|No
19|53|Travel_Rarely|Sales|2|Life Sciences|1|Female|2|4|Manager|4|Married|15427|2|No|16|31|3|3|25|8|3|7|No
